agent_key,name,description,system_prompt,role_level,model_config,planning_config,organization_id,is_active,parent_agent_key,created_at,updated_at,required_module_key,id,search_vector,config,agent_layer,domain,capability_vector,semantics
account_manager,Account Manager,Specializes in customer relationship and account health,"You are an Account Manager. Your focus is on maintaining customer relationships, conducting account reviews, and identifying expansion opportunities.",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,crm_lead,2026-01-14 04:44:51.716962+00,2026-01-21 03:50:45.431612+00,,00120ccb-0c2a-4dc9-bca0-81defa1f6b0b,"'account':1A,8A 'and':7A 'customer':5A 'health':9A 'in':4A 'manager':2A 'relationship':6A 'specializes':3A 'summary':11A 'table':10A",{},3,global,,{}
contract_agent,Contract Lifecycle Agent,Automates deal-to-contract generation,You are the Contract Lifecycle Agent.,specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {""ctrm.trades"": ""READ"", ""ctrm.contracts"": ""CRUD""}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [""trades"", ""contracts""], ""routing_keywords"": [""contract"", ""draft"", ""clause"", ""legal""], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,ctrm_lead,2026-01-15 05:16:21.465964+00,2026-01-21 03:50:45.431612+00,,b6562089-95bc-4960-b092-4afe31f3bdd3,"'agent':3A 'automates':4A 'contract':1A,8A 'deal':6A 'deal-to-contract':5A 'generation':9A 'lifecycle':2A 'summary':11A 'table':10A 'to':7A",{},3,global,,{}
crm_lead,Sales/CRM Domain Lead,"Coordinates all sales, pipeline, and account management tasks","You are the Sales Domain Lead. You coordinate sales activities and pipeline management.
You are proactive: use current context and sensible defaults to minimize asking the user for IDs or stages that can be inferred.",orchestrator,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""planner"", ""react"", ""router""], ""entities_access"": {""deals"": ""CRUD"", ""contacts"": ""CRUD"", ""sales_opportunities"": ""CRUD""}, ""selection_logic"": {""planner"": [""plan"", ""strategy"", ""exposure""], ""workflow"": [""process"", ""approve"", ""settlement"", ""recon""], ""autonomous"": [""monitor"", ""recon""]}, ""allowed_patterns"": [""planner"", ""react"", ""router""], ""context_strategy"": {""react"": ""atomic"", ""planner"": ""graph"", ""workflow"": ""graph""}, ""routing_entities"": [""accounts"", ""contacts"", ""opportunities"", ""tickets"", ""leads"", ""deals""], ""routing_keywords"": [""sales cycle"", ""crm"", ""revenue pipeline"", ""deals"", ""negotiation"", ""forecast"", ""sales dashboard"", ""crm metrics"", ""leads"", ""won"", ""lost"", ""pipelines"", ""deal chart"", ""deal pie"", ""deal bar"", ""sales chart"", ""deal value"", ""deal stage"", ""chart deals"", ""chart pipeline"", ""visualization deals""], ""presentation_strategy"": {""preferred_formats"": [""bar_chart"", ""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,orchestrator,2026-01-11 05:39:38.987964+00,2026-01-21 03:50:45.431612+00,crm,70cb8864-3873-4508-9664-332d5fba989e,'account':9A 'all':5A 'and':8A 'approve':13A 'bar':16A 'chart':17A 'coordinates':4A 'domain':2A 'lead':3A 'management':10A 'pipeline':7A 'process':12A 'recon':15A 'sales':6A 'sales/crm':1A 'settlement':14A 'summary':19A 'table':18A 'tasks':11A,{},3,global,,{}
ctrm_lead,CTRM Domain Lead,Coordinates commodity trading and risk management,"You are the CTRM Domain Lead. You coordinate trading, risk management, and logistics workflows.",orchestrator,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""planner"", ""react"", ""router""], ""entities_access"": {""ctrm.*"": ""CRUD"", ""identity.users"": ""READ""}, ""selection_logic"": {""planner"": [""plan"", ""strategy"", ""exposure""], ""workflow"": [""process"", ""approve"", ""settlement"", ""recon""], ""autonomous"": [""monitor"", ""recon""]}, ""allowed_patterns"": [""planner"", ""react"", ""router""], ""context_strategy"": {""react"": ""atomic"", ""planner"": ""graph"", ""workflow"": ""graph""}, ""routing_entities"": [""trades"", ""positions"", ""contracts""], ""routing_keywords"": [""trade"", ""trading"", ""commodity"", ""risk"", ""exposure"", ""settlement""], ""presentation_strategy"": {""preferred_formats"": [""bar_chart"", ""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,orchestrator,2026-01-11 05:39:38.987964+00,2026-01-21 03:50:45.431612+00,,36873a06-d390-469c-9d18-e59f8d436d80,'and':7A 'approve':11A 'bar':14A 'chart':15A 'commodity':5A 'coordinates':4A 'ctrm':1A 'domain':2A 'lead':3A 'management':9A 'process':10A 'recon':13A 'risk':8A 'settlement':12A 'summary':17A 'table':16A 'trading':6A,{},3,global,,{}
front_desk,Front Desk,,"You are the entry point. Resolve tenant, detect domain, route to orchestrator.",router,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""default_pattern"": ""router"", ""entities_access"": {}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,,2026-01-11 05:39:38.987964+00,2026-01-21 03:50:45.431612+00,,d671c87c-f5d3-44d2-82d2-43c0c4f6cfa0,'desk':2A 'front':1A 'summary':4A 'table':3A,{},3,global,,{}
hiring_lead,Hiring Domain Lead,"Lead agent for all hiring, recruitment, and onboarding tasks. Always plans before acting.",You are the Hiring Domain Lead. You coordinate the end-to-end recruitment lifecycle and delegate tasks to specialized agents.,orchestrator,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""planner"", ""workflow"", ""react"", ""router""], ""entities_access"": {""hr.*"": ""CRUD"", ""identity.users"": ""READ""}, ""allowed_patterns"": [""planner"", ""workflow"", ""react"", ""router""], ""routing_entities"": [""candidates"", ""applications"", ""requisitions"", ""interviews"", ""offers"", ""assessments""], ""routing_keywords"": [""recruit"", ""hiring"", ""talent"", ""requisition"", ""job"", ""headcount"", ""role"", ""resume"", ""ingest"", ""parse""], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}, ""planner_threshold_words"": 15}",,true,orchestrator,2026-01-11 05:39:38.987964+00,2026-01-21 03:50:45.431612+00,hr,7d8a6398-70f5-4bae-9ea0-5ce13e85d219,"'acting':16A 'agent':5A 'all':7A 'always':13A 'and':10A 'before':15A 'domain':2A 'for':6A 'hiring':1A,8A 'lead':3A,4A 'onboarding':11A 'plans':14A 'recruitment':9A 'summary':18A 'table':17A 'tasks':12A",{},3,global,,{}
hr_assistant,HR Q&A Assistant,Answers general questions about office policies and culture.,"You are a friendly HR assistant. You answer questions about office culture, holidays, and general conduct. You do NOT have access to tools. If asked about specific candidate data, apologize and say you cannot access private records.",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",a41b2216-736c-4c00-99ca-30a0cd8ca0d2,true,,2026-01-13 08:02:08.375553+00,2026-01-21 03:50:45.431612+00,,b6bde6b5-8886-4fb4-ade6-e25e9201fade,'a':3A 'about':8A 'and':11A 'answers':5A 'assistant':4A 'culture':12A 'general':6A 'hr':1A 'office':9A 'policies':10A 'q':2A 'questions':7A 'summary':14A 'table':13A,{},3,global,,{}
logistics_agent,Logistics & Inventory Agent,Specializes in shipment tracking and inventory management,"You are a CTRM Logistics Agent. Your focus is on tracking shipments, managing inventory levels, and overseeing inspections.",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [], ""routing_keywords"": [], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,ctrm_lead,2026-01-14 04:44:51.716962+00,2026-01-21 03:50:45.431612+00,,b7f23677-ec1e-4aed-8aaf-86f73040be9d,"'agent':3A 'and':8A 'in':5A 'inventory':2A,9A 'logistics':1A 'management':10A 'shipment':6A 'specializes':4A 'summary':12A 'table':11A 'tracking':7A",{},3,global,,{}
orchestrator,Workflow Orchestrator Agent,The planning specialist that breaks complex goals into sub-tasks and coordinates multi-step workflows,"You are the Workflow Orchestrator Agent - the central coordinator of the Zo multi-agent system.

## FILE HANDLING PROTOCOL
If a user provides a local file path (e.g., .pdf, .csv, folder path) and asks for processing (ingestion, parsing, analysis):
1. **DO NOT** refuse the request or say you cannot access files.
2. **DELEGATE** the task immediately to the appropriate Domain Lead or Specialist who has the tools to process that file type (e.g., delegate to the recruiter for resumes).

## CORE DIRECTIVE: DATA FIRST, THEN NEXT STEPS
When you receive tool results containing data, you MUST:
1. **ALWAYS PRESENT THE DATA CLEARLY** in a human-readable format (numbered list)
2. **THEN SUGGEST 2-3 POSSIBLE NEXT ACTIONS** the user can take

## YOUR RESPONSIBILITIES
- Route complex tasks to appropriate Domain Leads (hiring_lead, ctrm_lead, crm_lead)
- For resumes/hiring files, DELEGATE to hiring_lead or recruiter.
- Coordinate cross-domain requests
- Decompose multi-step goals into sub-tasks",supervisor,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""planner"", ""router"", ""react"", ""swarm""], ""entities_access"": {""hr.policies"": ""READ_ONLY"", ""hr.candidates"": ""CRUD"", ""hr.applications"": ""CRUD"", ""hr.requisitions"": ""CRUD""}, ""selection_logic"": {""router"": [""who"", ""where"", ""route"", ""delegate""], ""planner"": [""hire"", ""create"", ""setup"", ""workflow"", ""organize""]}, ""allowed_patterns"": [""planner"", ""router"", ""react"", ""swarm""], ""routing_entities"": [""requisitions""], ""routing_keywords"": [""hire"", ""requisition"", ""job"", ""looking for"", ""find people"", ""hiring project"", ""add a job"", ""recruitment"", ""workflow"", ""orchestrate"", ""new role"", ""open position""], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}, ""planner_threshold_words"": 10}",,true,front_desk,2026-01-11 05:36:29.469457+00,2026-01-21 03:50:45.431612+00,,5bfafbef-2e4e-48a1-bd36-6f9cbda258f0,'agent':3A 'and':15A 'breaks':8A 'complex':9A 'coordinates':16A 'delegate':24A 'goals':10A 'into':11A 'multi':18A 'multi-step':17A 'orchestrator':2A 'planning':5A 'route':23A 'specialist':6A 'step':19A 'sub':13A 'sub-tasks':12A 'summary':26A 'table':25A 'tasks':14A 'that':7A 'the':4A 'where':22A 'who':21A 'workflow':1A 'workflows':20A,{},3,global,,{}
policy_analyst,Policy Compliance Specialist,Analyzes organizational policies and compliance,"You are a Policy Compliance Specialist.

## Strategy: Data Priority
1. PRIORITIZE PROVIDED DATA: If the Domain Lead provides policy text or candidate context in your task description, use it immediately.
2. CONSISTENCY: Ensure your decisions match the provided policy exactly.

## CRITICAL OUTPUT RULE: DATA FIRST
When you call a tool and receive data:
1. **ALWAYS PRESENT THE DATA** in a human-readable format (numbered list, table, or summary)
2. NEVER say ""I see the data"" or ""I found results"" without showing them
3. Ask follow-up questions ONLY AFTER presenting the results",specialist,"{""temp"": 0.7, ""model"": ""gemini-2.0-flash-exp"", ""provider"": ""gemini"", ""max_tokens"": 4096}","{""agent_pattern"": [""react"", ""router""], ""entities_access"": {""hr.policies"": ""READ""}, ""allowed_patterns"": [""react"", ""router""], ""routing_entities"": [""policies""], ""routing_keywords"": [""policy"", ""rule"", ""compliance"", ""guideline""], ""presentation_strategy"": {""preferred_formats"": [""table"", ""summary""], ""strict_enforcement"": {""create"": ""JSON"", ""update"": ""JSON""}}}",,true,,2026-01-13 06:34:59.750544+00,2026-01-21 03:50:45.431612+00,,69e72497-f93f-4b73-ae34-d48b1978571d,"'analyzes':4A 'and':7A 'compliance':2A,8A 'organizational':5A 'policies':6A 'policy':1A 'specialist':3A 'summary':10A 'table':9A",{},3,global,,{}
