id,blueprint_id,entity_type,entity_schema,data,version,created_at,created_by
005d8ce6-b5e2-4ff0-bddc-70b3fdf14c0d,2e06cedc-cbf6-42be-abfa-8cabb15ff625,projects,blueprint,"{""id"": ""2e06cedc-cbf6-42be-abfa-8cabb15ff625"", ""rules"": {}, ""module"": null, ""status"": ""draft"", ""version"": 1, ""semantics"": {}, ""ui_config"": {}, ""created_at"": ""2026-02-03T20:41:34.583148+00:00"", ""sub_panels"": [], ""updated_at"": ""2026-02-05T08:59:32.527529+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""unified.projects"", ""entity_type"": ""projects"", ""dependencies"": [""blueprint.projects""], ""display_name"": null, ""physical_ddl"": null, ""entity_schema"": ""blueprint"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""transactional"", ""display_format"": null, ""custom_view_sql"": null, ""partition_filter"": null}",1,2026-02-05 12:24:45.570429+00,
00cf3c89-91f5-4c70-86f5-59a5ea6f35dc,ed9be2b6-f470-40cc-9e35-d5083b24055b,organizations,identity,"{""id"": ""ed9be2b6-f470-40cc-9e35-d5083b24055b"", ""rules"": {}, ""module"": ""identity"", ""status"": ""draft"", ""version"": 1, ""form_type"": ""simple"", ""semantics"": {""domain"": ""identity"", ""keywords"": [""organization"", ""entity"", ""tenant"", ""unit""], ""description"": ""System organizations and organizational units."", ""partitioning"": {""primary"": ""organization_id"", ""spatial"": ""location_id"", ""global_fallback"": false}, ""example_questions"": [""List all organizations"", ""Show tenant info"", ""Find organization units""]}, ""ui_config"": {}, ""created_at"": ""2026-02-03T20:41:34.583148+00:00"", ""sub_panels"": [], ""ui_general"": {""default_view"": ""tableview"", ""global_actions"": [{""form"": ""organizations_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""metricsview""]}, ""updated_at"": ""2026-02-05T08:59:32.527529+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""identity.organizations"", ""entity_type"": ""organizations"", ""dependencies"": [""identity.organizations""], ""display_name"": ""Organizations"", ""jsonb_schema"": null, ""physical_ddl"": null, ""ui_dashboard"": {}, ""ai_resolution"": ""direct"", ""entity_schema"": ""identity"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""transactional"", ""display_format"": null, ""custom_view_sql"": null, ""partition_filter"": null, ""ui_details_overview"": {}}",1,2026-02-08 16:49:22.023183+00,
00e53a3f-ff73-4878-bc48-a0ac01c691bf,2e06cedc-cbf6-42be-abfa-8cabb15ff625,projects,blueprint,"{""id"": ""2e06cedc-cbf6-42be-abfa-8cabb15ff625"", ""rules"": {}, ""module"": ""blueprint"", ""status"": ""draft"", ""version"": 1, ""semantics"": {}, ""ui_config"": {}, ""created_at"": ""2026-02-03T20:41:34.583148+00:00"", ""sub_panels"": [], ""updated_at"": ""2026-02-05T08:59:32.527529+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""unified.projects"", ""entity_type"": ""projects"", ""dependencies"": [""blueprint.projects""], ""display_name"": null, ""physical_ddl"": null, ""entity_schema"": ""blueprint"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""transactional"", ""display_format"": null, ""custom_view_sql"": null, ""partition_filter"": null}",1,2026-02-05 12:24:45.64594+00,
00ff1694-18ca-4543-aefd-da20e88f5b73,9e87c3e6-a47a-4ac0-be0a-201d9e7c3a9d,deals_summary,analytics,"{""id"": ""9e87c3e6-a47a-4ac0-be0a-201d9e7c3a9d"", ""rules"": {}, ""module"": ""analytics"", ""status"": ""draft"", ""version"": 1, ""form_type"": ""simple"", ""semantics"": {""domain"": ""analytics"", ""context"": {""title"": ""Deals Analytical Summary"", ""module"": ""analytics"", ""status"": ""draft"", ""keywords"": [""deal"", ""summary"", ""report"", ""sales""], ""description"": ""ANALYTICAL REPORT for Deals: Use this for executive dashboards, stage-wise totals, and averages. NOT for listing individual records.""}, ""example_questions"": [""Show deal summaries"", ""List sales reports""]}, ""ui_config"": {}, ""created_at"": ""2026-02-06T02:28:11.98248+00:00"", ""sub_panels"": [], ""ui_general"": {""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""deals_summary_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}, ""updated_at"": ""2026-02-06T02:28:11.98248+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""analytics.av_deals_summary"", ""entity_type"": ""deals_summary"", ""dependencies"": [], ""display_name"": ""Deals Analytical Summary"", ""jsonb_schema"": null, ""physical_ddl"": null, ""ui_dashboard"": {}, ""ai_resolution"": ""direct"", ""entity_schema"": ""analytics"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""analytical"", ""display_format"": null, ""custom_view_sql"": null, ""partition_filter"": null, ""ui_details_overview"": {}}",1,2026-02-13 04:03:18.279108+00,
015118c9-f88f-4c42-9691-8e2731d0da94,7eed730a-eb15-48ba-992f-ea0c56c3f610,partners,crm,"{""id"": ""7eed730a-eb15-48ba-992f-ea0c56c3f610"", ""rules"": {}, ""module"": ""crm"", ""status"": ""applied"", ""version"": 1, ""form_type"": ""simple"", ""semantics"": {""domain"": ""operations"", ""keywords"": [""partner"", ""strategic"", ""alliance"", ""referral""], ""description"": ""Strategic partners and referral organizations."", ""example_questions"": [""List strategic partners"", ""Show alliance records"", ""Find referral partners""]}, ""ui_config"": {}, ""created_at"": ""2026-01-24T05:03:06.997383+00:00"", ""sub_panels"": [], ""updated_at"": ""2026-02-07T06:22:31.728987+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""crm.contacts"", ""entity_type"": ""partners"", ""dependencies"": [""external.contacts"", ""external.accounts"", ""external.user_account_assignments""], ""display_name"": null, ""jsonb_schema"": null, ""physical_ddl"": null, ""ai_resolution"": ""direct"", ""entity_schema"": ""crm"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""master"", ""display_format"": null, ""custom_view_sql"": ""\nCREATE OR REPLACE VIEW external.v_partners AS \nSELECT \n    uc.id, uc.organization_id, uc.display_id, uc.name, uc.email, uc.phone, uc.lifecycle_stage, uc.persona_type, uc.status, uc.vertical, uc.vertical_payload, uc.details, \n    ec.account_id, ec.is_partner_delegate, ec.is_primary, ec.company, ec.tags, ec.last_contacted_at, ec.last_engaged_at, \n    a.name AS partner_company, a.domain, a.industry, \n    ua.user_id AS assigned_internal_user, ua.role_in_assignment, ua.functional_role, \n    uc.created_at, uc.updated_at \nFROM unified.contacts uc \nLEFT JOIN external.contacts ec ON ec.id = uc.id \nLEFT JOIN external.accounts a ON a.id = ec.account_id \nLEFT JOIN external.user_account_assignments ua ON ua.account_id = ec.account_id \nWHERE uc.contact_type = 'external' AND uc.lifecycle_stage = 'partner';\n        "", ""partition_filter"": ""contact_type = 'external' AND lifecycle_stage = 'partner'""}",1,2026-02-07 10:23:39.108572+00,
01d84c8f-8f24-4a95-b694-684c6ed4c4e3,470fd014-ee78-4c76-88da-5d38a164f44c,candidates,hr,"{""id"": ""470fd014-ee78-4c76-88da-5d38a164f44c"", ""rules"": {}, ""module"": ""hr"", ""status"": ""draft"", ""version"": 4, ""form_type"": ""simple"", ""semantics"": {""domain"": ""hr"", ""context"": {""title"": ""Candidates"", ""module"": ""hr"", ""status"": ""draft"", ""keywords"": [""candidate"", ""talent"", ""applicant"", ""recruitment"", ""cv"", ""resume""], ""description"": ""Talent acquisition and candidate management lifecycle.""}, ""assignments"": [{""sql"": ""COALESCE(NEW.details->'person'->'name'->>'given', '') || ' ' || COALESCE(NEW.details->'person'->'name'->>'family', 'Unnamed Candidate')"", ""column"": ""name"", ""on_insert"": true, ""overwrite"": true}, {""sql"": ""'hr'"", ""column"": ""module"", ""on_insert"": true}, {""sql"": ""'active'"", ""column"": ""status"", ""on_insert"": true}, {""sql"": ""'person'"", ""column"": ""contact_type"", ""on_insert"": true}], ""example_questions"": [""List all active candidates"", ""Find candidates with specific skills"", ""Show recent job applicants""]}, ""ui_config"": {}, ""created_at"": ""2026-02-03T20:41:34.583148+00:00"", ""sub_panels"": [], ""ui_general"": {""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""candidates_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}, ""updated_at"": ""2026-02-09T15:42:13.348987+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""unified.contacts"", ""entity_type"": ""candidates"", ""dependencies"": [""hr.candidates""], ""display_name"": null, ""jsonb_schema"": {""type"": ""object"", ""required"": [""person""], ""properties"": {""person"": {""type"": ""object"", ""required"": [""name"", ""communication""], ""properties"": {""name"": {""type"": ""object"", ""required"": [""given"", ""family""], ""properties"": {""given"": {""type"": ""string""}, ""family"": {""type"": ""string""}}}, ""communication"": {""type"": ""object"", ""properties"": {""email"": {""type"": ""array""}}}}}}}, ""physical_ddl"": null, ""ui_dashboard"": {}, ""ai_resolution"": ""direct"", ""entity_schema"": ""hr"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""master"", ""display_format"": null, ""custom_view_sql"": null, ""partition_filter"": ""contact_type = 'candidate'"", ""ui_details_overview"": {""staticTabs"": [{""tab"": ""Activities"", ""label"": ""Activities"", ""order"": 1}, {""tab"": ""Logs"", ""label"": ""Logs"", ""order"": 2}], ""dynamicTabs"": [{""label"": ""Applications"", ""order"": 3, ""props"": {""tabs"": [], ""filters"": [], ""entityType"": ""hr.applications""}, ""detailView"": false, ""details_overview"": false}]}}",4,2026-02-13 04:03:18.279108+00,
02724540-ea6b-4201-af4c-9ca1f0a2b2ed,ba4cca86-6279-486d-9f9f-724f0d16d5b4,customers_business,extecrmrnal,"{""id"": ""ba4cca86-6279-486d-9f9f-724f0d16d5b4"", ""rules"": {}, ""module"": null, ""status"": ""draft"", ""version"": 3, ""form_type"": ""simple"", ""semantics"": {}, ""ui_config"": {}, ""created_at"": ""2026-02-09T15:18:10.849427+00:00"", ""sub_panels"": [], ""ui_general"": {}, ""updated_at"": ""2026-02-09T15:42:13.348987+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""unified.organizations"", ""entity_type"": ""customers_business"", ""dependencies"": [""external.accounts""], ""display_name"": null, ""jsonb_schema"": null, ""physical_ddl"": null, ""ui_dashboard"": {}, ""ai_resolution"": ""direct"", ""entity_schema"": ""extecrmrnal"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""transactional"", ""display_format"": null, ""custom_view_sql"": null, ""partition_filter"": ""type = 'customer' AND is_individual = false"", ""ui_details_overview"": {}}",3,2026-02-12 05:18:33.009337+00,
028e48db-26b0-4ecd-bd46-c7e885579b04,2d99ed08-bbd2-4be3-8fa6-16fbe019d3d4,leads,crm,"{""id"": ""2d99ed08-bbd2-4be3-8fa6-16fbe019d3d4"", ""rules"": {}, ""module"": ""crm"", ""status"": ""applied"", ""version"": 1, ""form_type"": ""simple"", ""semantics"": {""domain"": ""sales"", ""keywords"": [""lead"", ""prospect"", ""inquiry"", ""interest""], ""description"": ""Potential sales leads and prospects."", ""example_questions"": [""List new leads"", ""Find high-priority leads"", ""Show inbound inquiries""]}, ""ui_config"": {}, ""created_at"": ""2026-01-11T10:57:42.249686+00:00"", ""sub_panels"": [], ""updated_at"": ""2026-02-07T06:22:31.728987+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""crm.contacts"", ""entity_type"": ""leads"", ""dependencies"": [""crm.contacts""], ""display_name"": null, ""jsonb_schema"": null, ""physical_ddl"": null, ""ai_resolution"": ""direct"", ""entity_schema"": ""crm"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""master"", ""display_format"": null, ""custom_view_sql"": null, ""partition_filter"": ""lifecycle_stage = 'lead'""}",1,2026-02-07 11:19:00.30218+00,
02ac059c-8d92-4085-b5e5-1f9286382bd4,f8d0d67b-4cb3-4ecf-8505-4539598c47c3,requisitions,hr,"{""id"": ""f8d0d67b-4cb3-4ecf-8505-4539598c47c3"", ""rules"": {}, ""module"": ""hr"", ""status"": ""draft"", ""version"": 1, ""form_type"": ""simple"", ""semantics"": {""domain"": ""hr"", ""keywords"": [""requisition"", ""job opening"", ""hiring"", ""vacancy"", ""position""], ""assignments"": [{""sql"": ""COALESCE(NEW.details->'requisition'->>'position', 'Unnamed Requisition')"", ""column"": ""name"", ""on_insert"": true, ""overwrite"": true}, {""sql"": ""'hr'"", ""column"": ""module"", ""on_insert"": true}, {""sql"": ""'active'"", ""column"": ""status"", ""on_insert"": true}], ""description"": ""Job openings, hiring requirements, and requisition management."", ""example_questions"": [""Show all open job requisitions"", ""List pending hiring needs"", ""Find requisitions for development team""]}, ""ui_config"": {}, ""created_at"": ""2026-02-03T20:41:34.583148+00:00"", ""sub_panels"": [], ""ui_general"": {""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""requisitions_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}, ""updated_at"": ""2026-02-09T15:42:13.348987+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""hr.requisitions"", ""entity_type"": ""requisitions"", ""dependencies"": [], ""display_name"": ""Job Requisitions"", ""jsonb_schema"": {""type"": ""object"", ""required"": [""positionProfile"", ""status""], ""properties"": {""status"": {""type"": ""string""}, ""positionProfile"": {""type"": ""object"", ""required"": [""positionTitle""], ""properties"": {""department"": {""type"": ""string""}, ""positionTitle"": {""type"": ""string""}, ""positionFormattedDescription"": {""type"": ""array""}}}}}, ""physical_ddl"": null, ""ui_dashboard"": {}, ""ai_resolution"": ""direct"", ""entity_schema"": ""hr"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""transactional"", ""display_format"": {""format"": ""REQ-{SEQ}"", ""counter_padding"": 5}, ""custom_view_sql"": null, ""partition_filter"": null, ""ui_details_overview"": {}}",1,2026-02-13 02:53:25.534196+00,
02c118f4-62a5-4025-a216-4de9792033e6,393ea1a2-a087-4f5e-bbc8-605354b2df48,location_types,identity,"{""id"": ""393ea1a2-a087-4f5e-bbc8-605354b2df48"", ""rules"": {}, ""module"": ""identity"", ""status"": ""draft"", ""version"": 1, ""semantics"": {""domain"": ""identity"", ""keywords"": [""location"", ""type"", ""site"", ""classification""], ""description"": ""Classifications for physical and virtual locations."", ""example_questions"": [""List location types"", ""Show site classifications""]}, ""ui_config"": {}, ""created_at"": ""2026-02-03T20:41:34.583148+00:00"", ""sub_panels"": [], ""updated_at"": ""2026-02-05T08:59:32.527529+00:00"", ""ai_metadata"": {""embedding_model"": ""text-embedding-3-large""}, ""base_source"": ""identity.location_types"", ""entity_type"": ""location_types"", ""dependencies"": [], ""display_name"": null, ""physical_ddl"": null, ""entity_schema"": ""identity"", ""extra_objects"": {}, ""blueprint_hash"": null, ""classification"": ""transactional"", ""display_format"": null, ""custom_view_sql"": null, ""partition_filter"": null}",1,2026-02-05 12:24:45.64594+00,
