id,name,prefix,description,is_active,created_at,updated_at,sub_modules,settings,notes
11111111-2222-3333-4444-555555555555,core,core_,"Core functionality (users, orgs, roles)",true,2025-03-18 22:34:04.630128+05:30,2025-05-25 21:39:51.453+05:30,"{""users"": true, ""profile"": true, ""crud-view"": true, ""businesses"": true, ""users-view"": true, ""user-setting"": true, ""organizations"": true, ""user-settings"": true}",,
22222222-2222-3333-4444-555555555555,doc_mgmt,doc_,Document management,true,2025-03-18 22:34:04.630128+05:30,2025-03-18 22:34:04.630128+05:30,,,
267cc578-4fd7-4221-957a-01d27f7a313f,networking,n_,,false,2025-04-18 22:14:08.478416+05:30,2025-04-18 22:14:08.478416+05:30,"{""members"": true, ""profile"": true, ""eventPass"": true, ""businesses"": true, ""networking"": true}",,
33333333-2222-3333-4444-555555555555,crm,crm_,Customer relationship management,true,2025-03-18 22:34:04.630128+05:30,2025-09-20 17:52:19.787034+05:30,"{""crm-deals"": true, ""crm-leads"": true, ""crm-accounts"": true, ""crm-contacts"": true}",,
44444444-2222-3333-4444-555555555555,fsm,fsm_,Field service management,true,2025-03-18 22:34:04.630128+05:30,2025-07-01 10:51:08.433+05:30,"{""my-tickets"": true}",,
55555555-2222-3333-4444-555555555555,proj_mgmt,proj_,Project execution,false,2025-03-18 22:34:04.630128+05:30,2025-03-18 22:34:04.630128+05:30,,,
66666666-2222-3333-4444-555555555555,support,sup_,Customer/technical support,true,2025-03-18 22:34:04.630128+05:30,2025-07-01 10:51:06.8+05:30,"{""tasks"": true, ""tickets"": true, ""invoices"": true, ""projects"": true, ""tracking"": true, ""activities"": true, ""service-reports"": true, ""service-invoices"": true}",,
77777777-2222-3333-4444-555555555555,inventory,inv_,Inventory management,false,2025-03-18 22:34:04.630128+05:30,2025-03-18 22:34:04.630128+05:30,"{""item_master"": true, ""warehousing"": true, ""item_category"": true, ""replenishment"": true, ""cycle_counting"": false, ""stock_transfers"": false, ""barcode_scanning"": false, ""returns_handling"": false, ""stock_management"": true, ""inventory_reports"": true, ""inventory_valuation"": false, ""inventory_transactions"": true}","{""inventory_management"": {""warehouses"": [{""name"": """", ""capacity"": 0, ""location_id"": """"}], ""auto_reorder"": true, ""stock_thresholds"": {""low_stock"": 0, ""reorder_point"": 0}}}","{""inventory_management"": {""warehouses"": [{""name"": """", ""capacity"": 0, ""location_id"": """"}], ""auto_reorder"": true, ""stock_thresholds"": {""low_stock"": 0, ""reorder_point"": 0}}}"
88888888-2222-3333-4444-555555555555,procurement,proc_,Supplier and purchasing,false,2025-03-18 22:34:04.630128+05:30,2025-03-18 22:34:04.630128+05:30,,,
8ed4f24a-0c63-49e3-a81e-d8813a23ced0,public,public,,false,2025-03-21 08:32:06.964867+05:30,2025-03-21 08:32:06.964867+05:30,"{""subscriptions"": true}",,
99999999-2222-3333-4444-555555555555,contracts,svc_,Service contract management,true,2025-03-18 22:34:04.630128+05:30,2025-07-01 10:51:09.203+05:30,"{""clients"": true, ""service-assets"": true, ""client-contacts"": true, ""service-contracts"": true}","{""data_partition"": ""organization""}",
aaaaaaab-2222-3333-4444-555555555555,workforce,wf_,Workforce management,true,2025-03-18 22:34:04.630128+05:30,2025-10-17 19:13:42.855334+05:30,"{""teams"": true, ""users"": true, ""leaves"": true, ""expenses"": true, ""timesheets"": true}","{""leaves_policy"": {""sick_leave"": 5, ""annual_leave"": 5, ""casual_leave"": 5, ""carry_forward"": true, ""approval_levels"": 1, ""default_approval"": ""Manager"", ""encashment_enabled"": false, ""entitlements_by_role"": {""employee"": {""sick_leave"": 4, ""annual_leave"": 3, ""casual_leave"": 6}, ""contractor"": {""sick_leave"": 0, ""annual_leave"": 0, ""casual_leave"": 0}}, ""leave_half_day_enabled"": true, ""max_carry_forward_days"": 30}, ""expense_policy"": {""currency"": ""INR"", ""categories"": [""travel"", ""food"", ""stay"", ""misc""], ""receipt_required"": true, ""approval_required"": true, ""max_limit_per_day"": 1000}}","{""leave_policy"": {""sick_leave"": 5, ""annual_leave"": 5, ""casual_leave"": 5, ""carry_forward"": true, ""approval_levels"": 1, ""default_approval"": ""Manager"", ""encashment_enabled"": false, ""entitlements_by_role"": {""employee"": {""sick_leave"": 4, ""annual_leave"": 3, ""casual_leave"": 6}, ""contractor"": {""sick_leave"": 0, ""annual_leave"": 0, ""casual_leave"": 0}}, ""leave_half_day_enabled"": true, ""max_carry_forward_days"": 30}, ""time_tracking"": {""mode"": ""realtime"", ""format"": ""24hr"", ""measure"": ""hour"", ""rounding"": {""unit"": 15, ""direction"": ""nearest""}, ""min_track"": 0.5}, ""expense_policy"": {""currency"": ""INR"", ""categories"": [""travel"", ""food"", ""stay"", ""misc""], ""receipt_required"": true, ""approval_required"": true, ""max_limit_per_day"": 1000}, ""timesheet_policy"": {""by_role"": {""contractor"": {""default_daily_hours"": 0.5, ""default_weekly_hours"": 0.5}}, ""approval_required"": true, ""default_daily_hours"": 8, ""allow_backdate_entry"": true, ""default_weekly_hours"": 40, ""submission_frequency"": ""weekly"", ""lock_after_submission"": true}}"
bbbbbbbb-2222-3333-4444-555555555555,auth,auth,Accounting and financials,true,2025-03-18 22:34:04.630128+05:30,2025-03-18 22:34:04.630128+05:30,"{""login"": true, ""signup"": true}","{""h"": ""u""}",
c1619316-c9cb-41ce-a10d-524567a0f970,admin,admin,,true,2025-03-21 08:28:56.033979+05:30,2025-09-20 18:13:25.870651+05:30,"{""users"": true, ""catalog"": true, ""process"": true, ""settings"": true, ""shopping"": true, ""notifications"": true, ""service-types"": true, ""subscriptions"": true, ""service-offerings"": true, ""service-categories"": true, ""location-categories"": true}","{""public.leaves"": {""sick_leave"": 5, ""annual_leave"": 5, ""casual_leave"": 5, ""carry_forward"": true, ""approval_levels"": 1, ""default_approval"": ""Manager"", ""encashment_enabled"": false, ""entitlements_by_role"": {""employee"": {""sick_leave"": 4, ""annual_leave"": 3, ""casual_leave"": 6}, ""contractor"": {""sick_leave"": 0, ""annual_leave"": 0, ""casual_leave"": 0}}, ""leave_half_day_enabled"": true, ""max_carry_forward_days"": 30}, ""data_partition"": ""organization"", ""public.expense"": {""currency"": ""INR"", ""categories"": [""travel"", ""food"", ""stay"", ""misc""], ""receipt_required"": true, ""approval_required"": true, ""max_limit_per_day"": 1000}}",
eced8d5f-a439-4e60-ae74-21b741e0dd3d,settings,s_,,true,2025-04-16 16:27:15.592188+05:30,2025-10-29 18:32:55.811873+05:30,"{""ai"": true, ""nlp"": true, ""data"": true, ""test"": {""enabled"": true, ""entity_type"": ""assets"", ""entity_schema"": ""external""}, ""config"": true, ""analytics"": true, ""workflows"": true, ""permissions"": true}","{""leaves"": {""schema"": ""public"", ""sick_leave"": 5, ""annual_leave"": 5, ""casual_leave"": 5, ""carry_forward"": true, ""approval_levels"": 1, ""default_approval"": ""Manager"", ""encashment_enabled"": false, ""entitlements_by_role"": {""employee"": {""sick_leave"": 4, ""annual_leave"": 3, ""casual_leave"": 6}, ""contractor"": {""sick_leave"": 0, ""annual_leave"": 0, ""casual_leave"": 0}}, ""leave_half_day_enabled"": true, ""max_carry_forward_days"": 30}, ""expense"": {""currency"": ""INR"", ""categories"": [""travel"", ""food"", ""stay"", ""misc""], ""receipt_required"": true, ""approval_required"": true, ""max_limit_per_day"": 1000}, ""data_partition"": ""organization""}","{""entity_type"": ""assets"", ""entity_schema"": ""external""}"
